FIT	CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
tan	7.7	la_	3	1.11568	0.36179	0.0289324	0.142649	0.0071587	0.010021	4.17631	46516.9	19719.9	1.23287	0.07826	0.0216898	0.00198819	2.93517e-05	4.20549e-06	1.25459	0.0802524	1.77529	0.123583	0.061147	0.00588715	3.06982e-05	4.39614e-06	1.83647	0.129475	3.00961	0.261846	0.317096	0.033136	1.08883e-05	4.20549e-06	3.32672	0.294986	5.00737	0.49843	0.317096	0.033136	1.08883e-05	1.54768e-06	5.32448	0.531567	0	53673968
hag	7.7	la_	3	1.11568	5.44083	0.0155169	200	0.574819	15	0.0110513	1.23287	0.07826	0.00775663	0.00010114	0.000237645	6.06154e-06	1.24087	0.0783672	1.77529	0.123583	0.0221548	0.000287165	0.000247349	6.30669e-06	1.79769	0.123877	3.00961	0.261846	0.117545	0.00150824	8.14371e-05	6.06154e-06	3.12724	0.26336	5.00737	0.49843	0.117545	0.00150824	8.14371e-05	2.06359e-06	5.125	0.49994	32767	0
bis	7.7	la_	4	1.11568	0.490034	0.017867	0.124239	0.0022731	0.63725	0.209899	109408	20700.4	0.705029	0.0554894	0.0130468	0.00124078	1.33817e-05	1.29053e-06	0.71809	0.0567315	1.0215	0.0890537	0.0367699	0.00365828	1.39973e-05	1.34882e-06	1.05828	0.0927134	1.75635	0.194692	0.190563	0.020454	4.97327e-06	1.29053e-06	1.94692	0.215147	2.93645	0.375644	0.190563	0.020454	4.97327e-06	4.73708e-07	3.12702	0.396098	110	11
tan	7.7	la_	4	1.11568	0.488027	0.0180288	0.124572	0.00228145	0.628259	0.209486	106370	20089.5	0.705029	0.0554894	0.0130469	0.000756692	1.33818e-05	7.44391e-06	0.71809	0.0562536	1.0215	0.0890537	0.0367701	0.00231202	1.39974e-05	7.7846e-06	1.05828	0.0913735	1.75635	0.194692	0.190564	0.0139496	4.97331e-06	7.44391e-06	1.94692	0.208649	2.93645	0.375644	0.190564	0.0139496	4.97331e-06	2.75703e-06	3.12702	0.389596	0	53673968
hag	7.7	la_	4	1.11568	5.87976	0.0196348	200	0.859133	15	0.0149356	0.705029	0.0554894	0.00539004	8.67857e-05	0.000117971	3.62683e-06	0.710537	0.0555798	1.0215	0.0890537	0.0154269	0.000246941	0.000122824	3.77474e-06	1.03705	0.0893045	1.75635	0.194692	0.0821363	0.00130179	4.0631e-05	3.62683e-06	1.83853	0.195997	2.93645	0.375644	0.0821363	0.00130179	4.0631e-05	1.24171e-06	3.01863	0.376947	32767	0
bis	7.7	la_	5	1.11568	0.544341	0.0135384	0.110196	0.00195261	1.26264	0.26773	189864	39771.2	0.27364	0.0219309	0.00649668	0.000645785	3.11788e-06	3.40054e-07	0.28014	0.022577	0.408358	0.0361747	0.0185147	0.00192676	3.26234e-06	3.55577e-07	0.426876	0.0381018	0.754915	0.083219	0.0978467	0.0109809	1.16433e-06	3.40054e-07	0.852763	0.0942003	1.31446	0.164237	0.0978467	0.0109809	1.16433e-06	1.25724e-07	1.41231	0.175218	59	45
tan	7.7	la_	5	1.11568	0.441529	0.0212494	0.128617	0.00249059	0.755192	0.272855	34397.5	6700.17	0.27364	0.0219309	0.00635662	0.000342285	3.2229e-06	1.99825e-06	0.28	0.0222751	0.408358	0.0361747	0.0180758	0.0010374	3.37206e-06	2.09028e-06	0.426437	0.0372142	0.754915	0.083219	0.0951572	0.00621582	1.20268e-06	1.99825e-06	0.850074	0.0894368	1.31446	0.164237	0.0951572	0.00621582	1.20268e-06	7.43183e-07	1.40962	0.170454	0	53673968
hag	7.7	la_	5	1.11568	6.71221	0.0215328	200	0.906206	15	0.0130817	0.27364	0.0219309	0.0027671	4.67209e-05	3.41709e-05	1.05733e-06	0.276441	0.0219786	0.408358	0.0361747	0.00794863	0.000133451	3.55942e-05	1.10104e-06	0.416342	0.0363093	0.754915	0.083219	0.0425841	0.000708159	1.1868e-05	1.05733e-06	0.797511	0.0839282	1.31446	0.164237	0.0425841	0.000708159	1.1868e-05	3.65365e-07	1.35706	0.164946	32767	0
bis	7.7	la_	6	1.11568	0.41774	0.380001	0.0870846	288172	-0.146136	288172	673269	1	0.0544906	0.00574299	0.00093424	0	2.22425e-06	0	0.0554271	0.00574299	0.0842414	0.00976363	0.00257095	0	2.34423e-06	0	0.0868147	0.00976363	0.16757	0.0236632	0.0126708	0	9.17582e-07	0	0.180242	0.0236632	0.300147	0.0476993	0.0126708	0	9.17582e-07	0	0.312818	0.0476993	20	14
tan	7.7	la_	6	1.11568	0.3	0.0150413	0.15933	0.0022605	5	3.65127	1285.06	214.664	0.0544906	0.00574299	0.00194502	0.000546544	1.70158e-06	7.35374e-07	0.0564373	0.00629027	0.0842414	0.00976363	0.00564925	0.00158278	1.80185e-06	7.78559e-07	0.0898924	0.0113472	0.16757	0.0236632	0.0307093	0.00856212	7.46902e-07	7.35374e-07	0.19828	0.0322261	0.300147	0.0476993	0.0307093	0.00856212	7.46902e-07	3.22012e-07	0.330857	0.0562617	0	53673968
hag	7.7	la_	6	1.11568	134727	0.424264	106.596	118.676	5.53588	5.77174	0.0544906	0.00574299	1.72485e-25	5.1045e-24	4.47497e-26	1.4957e-24	0.0544906	0.00574299	0.0842414	0.00976363	5.00383e-25	1.47945e-23	4.67488e-26	1.56207e-24	0.0842414	0.00976363	0.16757	0.0236632	2.71646e-24	8.01909e-23	1.61514e-26	1.4957e-24	0.16757	0.0236632	0.300147	0.0476993	2.71646e-24	8.01909e-23	1.61514e-26	5.37281e-25	0.300147	0.0476993	32767	0
bis	11.5	ala	0	1.11568	0.642514	0.0132697	0.098974	0.0018458	0.562528	0.140818	269429	64691.9	1.04737	0.0895596	0.052246	0.00757255	1.30856e-05	1.71825e-06	1.09963	0.0971338	1.60851	0.153314	0.205159	0.0352659	1.36844e-05	1.79568e-06	1.81368	0.188581	0.385736	0.0341784	0.0226588	0.00330224	2.65004e-06	1.71825e-06	0.408398	0.0374824	0.605824	0.0600477	0.0226588	0.00330224	2.65004e-06	3.45885e-07	0.628486	0.0633503	338	2
tan	11.5	ala	0	1.11568	0.642232	0.0132925	0.0990359	0.00184722	0.561269	0.140644	267254	64158.8	1.04737	0.0895596	0.0522288	0.00756884	1.30897e-05	1.71933e-06	1.09961	0.0971301	1.60851	0.153314	0.205067	0.0352458	1.36888e-05	1.79681e-06	1.81359	0.188561	0.385736	0.0341784	0.0226513	0.00330062	2.65087e-06	1.71933e-06	0.40839	0.0374807	0.605824	0.0600477	0.0226513	0.00330062	2.65087e-06	3.46099e-07	0.628478	0.0633486	0	53673968
hag	11.5	ala	0	1.11568	6.34285	0.0213366	200	10.8413	15	0.0673283	1.04737	0.0895596	0.130254	0.00218917	0.000100534	3.1953e-06	1.17772	0.0917519	1.60851	0.153314	0.581776	0.00964593	0.000104719	3.32735e-06	2.19039	0.162963	0.385736	0.0341784	0.0567183	0.000952837	1.95822e-05	3.1953e-06	0.442474	0.0351344	0.605824	0.0600477	0.0567183	0.000952837	1.95822e-05	6.20484e-07	0.662562	0.0610011	32767	0
bis	11.5	ala	1	1.11568	0.726871	0.0511721	0.0754724	0.0150466	0.893739	0.371566	1.05291e+07	3.49575e+07	0.79947	0.0832504	0.0423881	0.0130354	7.11319e-06	1.90231e-06	0.841865	0.0962877	1.22893	0.144094	0.17293	0.0648552	7.44125e-06	1.98743e-06	1.40187	0.208951	0.294276	0.0318792	0.0184037	0.0056969	1.4449e-06	1.90231e-06	0.312681	0.037578	0.462814	0.0566337	0.0184037	0.0056969	1.4449e-06	3.81841e-07	0.481219	0.062331	291	6
tan	11.5	ala	1	1.11568	0.530874	0.0242273	0.110939	0.00730818	0.0100006	4.18263	47197.9	33625.3	0.79947	0.0832504	0.0317127	0.00588818	8.68799e-06	1.77502e-06	0.831191	0.0891404	1.22893	0.144094	0.117774	0.0260122	9.0866e-06	1.85536e-06	1.34672	0.170108	0.294276	0.0318792	0.0137315	0.00256367	1.7612e-06	1.77502e-06	0.308009	0.0344447	0.462814	0.0566337	0.0137315	0.00256367	1.7612e-06	3.57949e-07	0.476547	0.0591977	0	53673968
